Code	Engels	Nederlands
Nshu, Name for	Nüshu	Nüshu
Ogam, Name for	Ogham	Ogham
Olck, Name for	Ol Chiki (Ol Cemet’, Ol, Santali)	Ol Chiki; Ol Cemet'; Ol; Santali
Orkh, Name for	Old Turkic, Orkhon Runic	Oud-Turks; Orkhon runen
Orya, Name for	Oriya	Oriya
Osge, Name for	Osage	Osage
Osma, Name for	Osmanya	Osmanya
Palm, Name for	Palmyrene	Palmyreens
Pauc, Name for	Pau Cin Hau	Pau Cin Hau
Perm, Name for	Old Permic	Oud-Permisch
Phag, Name for	Phags-pa	Phags-pa
Phli, Name for	Inscriptional Pahlavi	Inscriptie Pahlavi
Phlp, Name for	Psalter Pahlavi	Psalmen Pahlavi
Phlv, Name for	Book Pahlavi	Book Pahlavi
Phnx, Name for	Phoenician	Fenicisch
Piqd, Name for	Klingon (KLI pIqaD)	Klingon (KLI pIqaD)
Plrd, Name for	Miao (Pollard)	Miao (Pollard)
Prti, Name for	Inscriptional Parthian	Inscriptie Parthian
Qaaa, Name for	Reserved for private use (start)	Gereserveerd voor privégebruik (begin)
Qabx, Name for	Reserved for private use (end)	Gereserveerd voor privégebruik (einde)
Rjng, Name for	Rejang (Redjang, Kaganga)	Rejang; Redjang; Kaganga
Roro, Name for	Rongorongo	Rongorongo
Runr, Name for	Runic	Runen
Samr, Name for	Samaritan	Samaritaans
Sara, Name for	Sarati	Sarati
Sarb, Name for	Old South Arabian	Oud-Zuid-Arabisch
Saur, Name for	Saurashtra	Saurashtra
Sgnw, Name for	SignWriting	SignWriting
Shaw, Name for	Shavian (Shaw)	Shavian (Shaw)
Shrd, Name for	Sharada, Śāradā	Sharada
Sidd, Name for	Siddham, Siddhaṃ, Siddhamātṛkā	Siddham; Siddhamatrika; Kutila
Sind, Name for	Khudawadi, Sindhi	Khudawadi; Sindhi
Sinh, Name for	Sinhala	Sinhala
Sora, Name for	Sora Sompeng	Sora Sompeng
Sund, Name for	Sundanese	Soendanees
Sylo, Name for	Syloti Nagri	Syloti Nagri
Syrc, Name for	Syriac	Syrisch
Syre, Name for	Syriac (Estrangelo variant)	Syrisch (Estrangelovariant)
Syrj, Name for	Syriac (Western variant)	Syrisch (westerse variant)
Syrn, Name for	Syriac (Eastern variant)	Syrisch (oosterse variant)
Tagb, Name for	Tagbanwa	Tagbanwa
Takr, Name for	Takri, Ṭākrī, Ṭāṅkrī	Takri; Tankri
Tale, Name for	Tai Le	Tai Le
Talu, Name for	New Tai Lue	Nieuw Tai Lue
Taml, Name for	Tamil	Tamil
Tang, Name for	Tangut	Tangut
Tavt, Name for	Tai Viet	Tai Viet
Telu, Name for	Telugu	Telugu
Teng, Name for	Tengwar	Tengwar
Tfng, Name for	Tifinagh (Berber)	Tifinagh (Berbers)
Tglg, Name for	Tagalog (Baybayin, Alibata)	Tagalog; Baybayin
Thaa, Name for	Thaana	Thaana
Thai, Name for	Thai	Thais
Tibt, Name for	Tibetan	Tibetaans
Tirh, Name for	Tirhuta	Tirhuta
Ugar, Name for	Ugaritic	Ugaritisch
Vaii, Name for	Vai	Vai
Visp, Name for	Visible Speech	Zichtbare spraak
Wara, Name for	Warang Citi (Varang Kshiti)	Warang Citi (Varang Kshiti)
Wole, Name for	Woleai	Woleai
Xpeo, Name for	Old Persian	Oud-Perzisch
Xsux, Name for	Cuneiform, Sumero-Akkadian	Spijkerschrift, Soemerisch-Akkadisch
Yiii, Name for	Yi	Yi
Zinh, Name for	Code for inherited script	Code voor overgeërfd schrift
Zmth, Name for	Mathematical notation	Wiskundige notatie
Zsye, Name for	Symbols (Emoji variant)	Symbolen (emojivariant)
Zsym, Name for	Symbols	Symbolen
Zxxx, Name for	Code for unwritten documents	Code voor ongeschreven documenten
Zyyy, Name for	Code for undetermined script	Code voor onbepaald schrift
Zzzz, Name for	Code for uncoded script	Code voor niet-gecodeerd schrift
