Code	Type	Engels	Nederlands
GB-NLK, Name for	Council area	North Lanarkshire	North Lanarkshire
GB-NLN, Name for	Unitary authority	North Lincolnshire	North Lincolnshire
GB-NMD, Name for	District	Newry, Mourne and Down	Newry, Mourne and Down
GB-NSM, Name for	Unitary authority	North Somerset	Noord-Somerset
GB-NTH, Name for	Two-tier county	Northamptonshire	Northamptonshire
GB-NTL, Name for	Unitary authority	Neath Port Talbot [Castell-nedd Port Talbot GB-CTL]	Neath Port Talbot
GB-NTT, Name for	Two-tier county	Nottinghamshire	Nottinghamshire
GB-NTY, Name for	Metropolitan district	North Tyneside	Noord-Tyneside
GB-NWM, Name for	London borough	Newham	Newham
GB-NWP, Name for	Unitary authority	Newport [Casnewydd GB-CNW]	Newport
GB-NYK, Name for	Two-tier county	North Yorkshire	North Yorkshire
GB-OLD, Name for	Metropolitan district	Oldham	Oldham
GB-ORK, Name for	Council area	Orkney Islands	Orkney-eilanden
GB-OXF, Name for	Two-tier county	Oxfordshire	Oxfordshire
GB-PEM, Name for	Unitary authority	Pembrokeshire [Sir Benfro GB-BNF]	Pembrokeshire
GB-PKN, Name for	Council area	Perth and Kinross	Perth en Kinross
GB-PLY, Name for	Unitary authority	Plymouth	Plymouth
GB-POR, Name for	Unitary authority	Portsmouth	Portsmouth
GB-POW, Name for	Unitary authority	Powys	Powys
GB-PTE, Name for	Unitary authority	Peterborough	Peterborough
GB-RCC, Name for	Unitary authority	Redcar and Cleveland	Redcar en Cleveland
GB-RCH, Name for	Metropolitan district	Rochdale	Rochdale
GB-RCT, Name for	Unitary authority	Rhondda Cynon Taff [Rhondda CynonTaf]	Rhondda Cynon Taf
GB-RDB, Name for	London borough	Redbridge	Redbridge
GB-RDG, Name for	Unitary authority	Reading	Reading
GB-RFW, Name for	Council area	Renfrewshire	Renfrewshire
GB-RIC, Name for	London borough	Richmond upon Thames	Richmond upon Thames
GB-ROT, Name for	Metropolitan district	Rotherham	Rotherham
GB-RUT, Name for	Unitary authority	Rutland	Rutland
GB-SAW, Name for	Metropolitan district	Sandwell	Sandwell
GB-SAY, Name for	Council area	South Ayrshire	South Ayrshire
GB-SCB, Name for	Council area	Scottish Borders	Scottish Borders
GB-SCT, Name for	Country	Scotland	Schotland
GB-SFK, Name for	Two-tier county	Suffolk	Suffolk
GB-SFT, Name for	Metropolitan district	Sefton	Sefton
GB-SGC, Name for	Unitary authority	South Gloucestershire	South Gloucestershire
GB-SHF, Name for	Metropolitan district	Sheffield	Sheffield
GB-SHN, Name for	Metropolitan district	St. Helens	St. Helens
GB-SHR, Name for	Unitary authority	Shropshire	Shropshire
GB-SKP, Name for	Metropolitan district	Stockport	Stockport
GB-SLF, Name for	Metropolitan district	Salford	Salford
GB-SLG, Name for	Unitary authority	Slough	Slough
GB-SLK, Name for	Council area	South Lanarkshire	South Lanarkshire
GB-SND, Name for	Metropolitan district	Sunderland	Sunderland
GB-SOL, Name for	Metropolitan district	Solihull	Solihull
GB-SOM, Name for	Two-tier county	Somerset	Somerset
GB-SOS, Name for	Unitary authority	Southend-on-Sea	Southend aan Zee
GB-SRY, Name for	Two-tier county	Surrey	Surrey
GB-STE, Name for	Unitary authority	Stoke-on-Trent	Stoke aan Trent
GB-STG, Name for	Council area	Stirling	Stirling
GB-STH, Name for	Unitary authority	Southampton	Southampton
GB-STN, Name for	London borough	Sutton	Sutton
GB-STS, Name for	Two-tier county	Staffordshire	Staffordshire
GB-STT, Name for	Unitary authority	Stockton-on-Tees	Stockton aan Tees
GB-STY, Name for	Metropolitan district	South Tyneside	Zuid-Tyneside
GB-SWA, Name for	Unitary authority	Swansea [Abertawe GB-ATA]	Swansea
GB-SWD, Name for	Unitary authority	Swindon	Swindon
GB-SWK, Name for	London borough	Southwark	Southwark
GB-TAM, Name for	Metropolitan district	Tameside	Tameside
GB-TFW, Name for	Unitary authority	Telford and Wrekin	Telford en Wrekin
GB-THR, Name for	Unitary authority	Thurrock	Thurrock
GB-TOB, Name for	Unitary authority	Torbay	Torbay
GB-TOF, Name for	Unitary authority	Torfaen [Tor-faen]	Torfaen
GB-TRF, Name for	Metropolitan district	Trafford	Trafford
GB-TWH, Name for	London borough	Tower Hamlets	Tower Hamlets
GB-VGL, Name for	Unitary authority	Vale of Glamorgan, The [Bro Morgannwg GB-BMG]	Vale of Glamorgan
GB-WAR, Name for	Two-tier county	Warwickshire	Warwickshire
GB-WBK, Name for	Unitary authority	West Berkshire	Westberkshire
GB-WDU, Name for	Council area	West Dunbartonshire	Westdunbartonshire
GB-WFT, Name for	London borough	Waltham Forest	Waltham Forest
GB-WGN, Name for	Metropolitan district	Wigan	Wigan
GB-WIL, Name for	Unitary authority	Wiltshire	Wiltshire
GB-WKF, Name for	Metropolitan district	Wakefield	Wakefield
GB-WLL, Name for	Metropolitan district	Walsall	Walsall
GB-WLN, Name for	Council area	West Lothian	West-Lothian
GB-WLS, Name for	Country	Wales [Cymru GB-CYM]	Wales
GB-WLV, Name for	Metropolitan district	Wolverhampton	Wolverhampton
