Code	Type	Engels	Nederlands
AD-02, Name for	Parish	Canillo	Canillo
AD-03, Name for	Parish	Encamp	Encamp
AD-04, Name for	Parish	La Massana	La Massana
AD-05, Name for	Parish	Ordino	Ordino
AD-06, Name for	Parish	Sant Julià de Lòria	Sant Julià de Lòria
AD-07, Name for	Parish	Andorra la Vella	Andorra la Vella
AD-08, Name for	Parish	Escaldes-Engordany	Escaldes-Engordany
AE-AJ, Name for	Emirate	‘Ajmān	Ajman
AE-AZ, Name for	Emirate	Abū Z̧aby	Abu Dhabi
AE-DU, Name for	Emirate	Dubayy	Dubai
AE-FU, Name for	Emirate	Al Fujayrah	Fujairah
AE-RK, Name for	Emirate	Ra’s al Khaymah	Ras al-Khaimah
AE-SH, Name for	Emirate	Ash Shāriqah	Sharjah
AE-UQ, Name for	Emirate	Umm al Qaywayn	Umm al-Qawain
AF-BAL, Name for	Province	Balkh	Balkh
AF-BAM, Name for	Province	Bāmyān	Bamyan
AF-BDG, Name for	Province	Bādghīs	Badghis
AF-BDS, Name for	Province	Badakhshān	Badakhshan
AF-BGL, Name for	Province	Baghlān	Baghlan
AF-DAY, Name for	Province	Dāykundī	Daikondi
AF-FRA, Name for	Province	Farāh	Farah
AF-FYB, Name for	Province	Fāryāb	Faryab
AF-GHA, Name for	Province	Ghaznī	Ghazni
AF-GHO, Name for	Province	Ghōr	Ghowr
AF-HEL, Name for	Province	Helmand	Helmand
AF-HER, Name for	Province	Herāt	Herat
AF-JOW, Name for	Province	Jowzjān	Jowzjan
AF-KAB, Name for	Province	Kābul	Kabul
AF-KAN, Name for	Province	Kandahār	Kandahar
AF-KAP, Name for	Province	Kāpīsā	Kapisa
AF-KDZ, Name for	Province	Kunduz	Kunduz
AF-KHO, Name for	Province	Khōst	Khost
AF-KNR, Name for	Province	Kunaṟ	Kunar
AF-LAG, Name for	Province	Laghmān	Laghman
AF-LOG, Name for	Province	Lōgar	Logar
AF-NAN, Name for	Province	Nangarhār	Nangarhar
AF-NIM, Name for	Province	Nīmrōz	Nimroz
AF-NUR, Name for	Province	Nūristān	Nooristan
AF-PAN, Name for	Province	Panjshayr	Panjshir
AF-PAR, Name for	Province	Parwān	Parwan
AF-PIA, Name for	Province	Paktiyā	Paktia
AF-PKA, Name for	Province	Paktīkā	Paktika
AF-SAM, Name for	Province	Samangān	Samangan
AF-SAR, Name for	Province	Sar-e Pul	Sar-e Pol
AF-TAK, Name for	Province	Takhār	Takhār
AF-URU, Name for	Province	Uruzgān	Uruzgan
AF-WAR, Name for	Province	Wardak	Wardak
AF-ZAB, Name for	Province	Zābul	Zabul
AG-03, Name for	Parish	Saint George	Saint George
AG-04, Name for	Parish	Saint John	Saint John
AG-05, Name for	Parish	Saint Mary	Saint Mary
AG-06, Name for	Parish	Saint Paul	Saint Paul
AG-07, Name for	Parish	Saint Peter	Saint Peter
AG-08, Name for	Parish	Saint Philip	Saint Philip
AG-10, Name for	Dependency	Barbuda	Barbuda
AG-11, Name for	Dependency	Redonda	Redonda
AL-01, Name for	County	Berat	Berat
AL-02, Name for	County	Durrës	Durrsës
AL-03, Name for	County	Elbasan	Elbasan
AL-04, Name for	County	Fier	Fier
AL-05, Name for	County	Gjirokastër	Gjirokastër
AL-06, Name for	County	Korçë	Korçë
AL-07, Name for	County	Kukës	Kukës
AL-08, Name for	County	Lezhë	Lezhë
AL-09, Name for	County	Dibër	Dibër
AL-10, Name for	County	Shkodër	Shkodër
AL-11, Name for	County	Tiranë	Tirana
AL-12, Name for	County	Vlorë	Vlorë
AM-AG, Name for	Region	Aragac̣otn	Aragacotn
AM-AR, Name for	Region	Ararat	Ararat
AM-AV, Name for	Region	Armavir	Armavir
AM-ER, Name for	City	Erevan	Jerevan
AM-GR, Name for	Region	Geġark'unik'	Gegark'unik'
AM-KT, Name for	Region	Kotayk'	Kotayk'
AM-LO, Name for	Region	Loṙi	Lori
AM-SH, Name for	Region	Širak	Sirak
AM-SU, Name for	Region	Syunik'	Syunik'
AM-TV, Name for	Region	Tavuš	Tavus
AM-VD, Name for	Region	Vayoć Jor	Vayoc Jor
AO-BGO, Name for	Province	Bengo	Bengo
AO-BGU, Name for	Province	Benguela	Benguela
AO-BIE, Name for	Province	Bié	Bié
AO-CAB, Name for	Province	Cabinda	Cabinda
AO-CCU, Name for	Province	Cuando Cubango	Cuando-Cubango
AO-CNN, Name for	Province	Cunene	Cunene
AO-CNO, Name for	Province	Cuanza-Norte	Noord-Cuanza
AO-CUS, Name for	Province	Cuanza-Sul	Zuid-Cuanza
AO-HUA, Name for	Province	Huambo	Huambo
AO-HUI, Name for	Province	Huíla	Huíla
AO-LNO, Name for	Province	Lunda-Norte	Noord-Lunda
AO-LSU, Name for	Province	Lunda-Sul	Zuid-Lunda
AO-LUA, Name for	Province	Luanda	Luanda
AO-MAL, Name for	Province	Malange	Malange
AO-MOX, Name for	Province	Moxico	Moxico
AO-NAM, Name for	Province	Namibe	Namibe
AO-UIG, Name for	Province	Uíge	Uíge
AO-ZAI, Name for	Province	Zaire	Zaïre
AR-A, Name for	Province	Salta	Salta
AR-B, Name for	Province	Buenos Aires	Buenos Aires
AR-C, Name for	City	Ciudad Autónoma de Buenos Aires	Autonome Stad Buenos Aires
AR-D, Name for	Province	San Luis	San Luis
AR-E, Name for	Province	Entre Ríos	Entre Ríos
AR-F, Name for	Province	La Rioja	La Rioja
AR-G, Name for	Province	Santiago del Estero	Santiago del Estero
AR-H, Name for	Province	Chaco	Chaco
AR-J, Name for	Province	San Juan	San Juan
AR-K, Name for	Province	Catamarca	Catamarca
AR-L, Name for	Province	La Pampa	La Pampa
AR-M, Name for	Province	Mendoza	Mendoza
AR-N, Name for	Province	Misiones	Misiones
AR-P, Name for	Province	Formosa	Formosa
AR-Q, Name for	Province	Neuquén	Neuquén
AR-R, Name for	Province	Río Negro	Río Negro
AR-S, Name for	Province	Santa Fe	Santa Fe
AR-T, Name for	Province	Tucumán	Tucumán
AR-U, Name for	Province	Chubut	Chubut
AR-V, Name for	Province	Tierra del Fuego	Tierra del Fuego
AR-W, Name for	Province	Corrientes	Corrientes
AR-X, Name for	Province	Córdoba	Córdoba
AR-Y, Name for	Province	Jujuy	Jujuy
AR-Z, Name for	Province	Santa Cruz	Santa Cruz
AT-1, Name for	State	Burgenland	Burgenland
AT-2, Name for	State	Kärnten	Karinthië
AT-3, Name for	State	Niederösterreich	Neder-Oostenrijk
AT-4, Name for	State	Oberösterreich	Opper-Oostenrijk
AT-5, Name for	State	Salzburg	Salzburg
AT-6, Name for	State	Steiermark	Steiermark
AT-7, Name for	State	Tirol	Tirol
AT-8, Name for	State	Vorarlberg	Vorarlberg
AT-9, Name for	State	Wien	Wenen
AU-ACT, Name for	Territory	Australian Capital Territory	Australisch Hoofdstedelijk Territorium
AU-NSW, Name for	State	New South Wales	Nieuw-Zuid-Wales
AU-NT, Name for	Territory	Northern Territory	Noordelijk Territorium
AU-QLD, Name for	State	Queensland	Queensland
AU-SA, Name for	State	South Australia	Zuid-Australië
AU-TAS, Name for	State	Tasmania	Tasmanië
AU-VIC, Name for	State	Victoria	Victoria
AU-WA, Name for	State	Western Australia	West-Australië
AZ-ABS, Name for	Rayon	Abşeron	Abseron
AZ-AGA, Name for	Rayon	Ağstafa	Agstafa
AZ-AGC, Name for	Rayon	Ağcabədi	Agcabadi
AZ-AGM, Name for	Rayon	Ağdam	Agdam
AZ-AGS, Name for	Rayon	Ağdaş	Agdas
AZ-AGU, Name for	Rayon	Ağsu	Agsu
AZ-AST, Name for	Rayon	Astara	Astara
AZ-BA, Name for	Municipality	Bakı	Bakoe
AZ-BAB, Name for	Rayon	Babək	Babak
AZ-BAL, Name for	Rayon	Balakən	Balakan
AZ-BAR, Name for	Rayon	Bərdə	Barda
AZ-BEY, Name for	Rayon	Beyləqan	Beylaqan
AZ-BIL, Name for	Rayon	Biləsuvar	Bilasuvar
AZ-CAB, Name for	Rayon	Cəbrayıl	Cabrayil
AZ-CAL, Name for	Rayon	Cəlilabad	Cəlilabad
AZ-CUL, Name for	Rayon	Culfa	Culfa
AZ-DAS, Name for	Rayon	Daşkəsən	Daskasan
AZ-FUZ, Name for	Rayon	Füzuli	Fuzuli
AZ-GA, Name for	Municipality	Gəncə	Ganca
AZ-GAD, Name for	Rayon	Gədəbəy	Gadabay
AZ-GOR, Name for	Rayon	Goranboy	Goranboy
AZ-GOY, Name for	Rayon	Göyçay	Goycay
AZ-GYG, Name for	Rayon	Göygöl	Göygöl
AZ-HAC, Name for	Rayon	Hacıqabul	Haciqabul
AZ-IMI, Name for	Rayon	İmişli	Imisli
AZ-ISM, Name for	Rayon	İsmayıllı	Ismayilli
AZ-KAL, Name for	Rayon	Kəlbəcər	Kalbacar
AZ-KAN, Name for	Rayon	Kǝngǝrli	Kangarli
AZ-KUR, Name for	Rayon	Kürdəmir	Kurdamir
AZ-LA, Name for	Municipality	Lənkəran	Lankaran
AZ-LAC, Name for	Rayon	Laçın	Lacin
AZ-LAN, Name for	Rayon	Lənkəran	Lankaran
AZ-LER, Name for	Rayon	Lerik	Lerik
AZ-MAS, Name for	Rayon	Masallı	Masalli
AZ-MI, Name for	Municipality	Mingəçevir	Mingacevir
AZ-NA, Name for	Municipality	Naftalan	Naftalan
AZ-NEF, Name for	Rayon	Neftçala	Neftcala
AZ-NV, Name for	Municipality	Naxçıvan	Nachitsjevan
AZ-NX, Name for	Autonomous republic	Naxçıvan	Nachitsjevan
AZ-OGU, Name for	Rayon	Oğuz	Oguz
AZ-ORD, Name for	Rayon	Ordubad	Ordubad
AZ-QAB, Name for	Rayon	Qəbələ	Qabala
AZ-QAX, Name for	Rayon	Qax	Qax
AZ-QAZ, Name for	Rayon	Qazax	Qazax
AZ-QBA, Name for	Rayon	Quba	Quba
AZ-QBI, Name for	Rayon	Qubadlı	Qubadli
AZ-QOB, Name for	Rayon	Qobustan	Qobustan
AZ-QUS, Name for	Rayon	Qusar	Qusar
AZ-SA, Name for	Municipality	Şəki	Saki
AZ-SAB, Name for	Rayon	Sabirabad	Sabirabad
AZ-SAD, Name for	Rayon	Sədərək	Sadarak
AZ-SAH, Name for	Rayon	Şahbuz	Sahbuz
AZ-SAK, Name for	Rayon	Şəki	Saki
AZ-SAL, Name for	Rayon	Salyan	Salyan
AZ-SAR, Name for	Rayon	Şərur	Sarur
AZ-SAT, Name for	Rayon	Saatlı	Saatli
AZ-SBN, Name for	Rayon	Şabran	Şabran
AZ-SIY, Name for	Rayon	Siyəzən	Siyazan
AZ-SKR, Name for	Rayon	Şəmkir	Samkir
AZ-SM, Name for	Municipality	Sumqayıt	Sumqayit
AZ-SMI, Name for	Rayon	Şamaxı	Samaxi
AZ-SMX, Name for	Rayon	Samux	Samux
AZ-SR, Name for	Municipality	Şirvan	Şirvan
AZ-SUS, Name for	Rayon	Şuşa	Susa
AZ-TAR, Name for	Rayon	Tərtər	Tartar
AZ-TOV, Name for	Rayon	Tovuz	Tovuz
AZ-UCA, Name for	Rayon	Ucar	Ucar
AZ-XA, Name for	Municipality	Xankəndi	Xankandi
AZ-XAC, Name for	Rayon	Xaçmaz	Xacmaz
AZ-XCI, Name for	Rayon	Xocalı	Xocali
AZ-XIZ, Name for	Rayon	Xızı	Xizi
AZ-XVD, Name for	Rayon	Xocavənd	Xocavand
AZ-YAR, Name for	Rayon	Yardımlı	Yardimli
AZ-YE, Name for	Municipality	Yevlax	Yevlax
AZ-YEV, Name for	Rayon	Yevlax	Yevlax
AZ-ZAN, Name for	Rayon	Zəngilan	Zangilan
AZ-ZAQ, Name for	Rayon	Zaqatala	Zaqatala
AZ-ZAR, Name for	Rayon	Zərdab	Zardab
BA-BIH, Name for	Entity	Federacija Bosne i Hercegovine	Bosnië-Herzegovina, Federatie
BA-BRC, Name for	District with special status	Brčko distrikt	Brcko-district
BA-SRP, Name for	Entity	Republika Srpska	Servië, Republiek
BB-01, Name for	Parish	Christ Church	Christ Church
BB-02, Name for	Parish	Saint Andrew	Saint Andrew
BB-03, Name for	Parish	Saint George	Saint George
BB-04, Name for	Parish	Saint James	Saint James
BB-05, Name for	Parish	Saint John	Saint John
BB-06, Name for	Parish	Saint Joseph	Saint Joseph
BB-07, Name for	Parish	Saint Lucy	Saint Lucy
BB-08, Name for	Parish	Saint Michael	Saint Michael
BB-09, Name for	Parish	Saint Peter	Saint Peter
BB-10, Name for	Parish	Saint Philip	Saint Philip
BB-11, Name for	Parish	Saint Thomas	Saint Thomas
BD-01, Name for	District	Bandarban	Bandarban
BD-02, Name for	District	Barguna	Barguna
BD-03, Name for	District	Bogura	Bogura
BD-04, Name for	District	Brahmanbaria	Brahmanbaria
BD-05, Name for	District	Bagerhat	Bagerhat
BD-06, Name for	District	Barishal	Barisal
BD-07, Name for	District	Bhola	Bhola
BD-08, Name for	District	Cumilla	Comilla
BD-09, Name for	District	Chandpur	Chandpur
BD-10, Name for	District	Chattogram	Chittagong
BD-11, Name for	District	Cox's Bazar	Cox's Bazar
BD-12, Name for	District	Chuadanga	Chuadanga
BD-13, Name for	District	Dhaka	Dhaka
BD-14, Name for	District	Dinajpur	Dinajpur
BD-15, Name for	District	Faridpur	Faridpur
BD-16, Name for	District	Feni	Feni
BD-17, Name for	District	Gopalganj	Gopalganj
BD-18, Name for	District	Gazipur	Gazipur
BD-19, Name for	District	Gaibandha	Gaibandha
BD-20, Name for	District	Habiganj	Habiganj
BD-21, Name for	District	Jamalpur	Jamalpur
BD-22, Name for	District	Jashore	Jessore
BD-23, Name for	District	Jhenaidah	Jhenaidah
BD-24, Name for	District	Joypurhat	Jaipurhat
BD-25, Name for	District	Jhalakathi	Jhalokati
BD-26, Name for	District	Kishoreganj	Kishoreganj
BD-27, Name for	District	Khulna	Khulna
BD-28, Name for	District	Kurigram	Kurigram
BD-29, Name for	District	Khagrachhari	Khagrachari
BD-30, Name for	District	Kushtia	Kushtia
BD-31, Name for	District	Lakshmipur	Lakshmipur
BD-32, Name for	District	Lalmonirhat	Lalmonirhat
BD-33, Name for	District	Manikganj	Manikganj
BD-34, Name for	District	Mymensingh	Mymensingh
BD-35, Name for	District	Munshiganj	Munshiganj
BD-36, Name for	District	Madaripur	Madaripur
BD-37, Name for	District	Magura	Magura
BD-38, Name for	District	Moulvibazar	Moulvibazar
BD-39, Name for	District	Meherpur	Meherpur
BD-40, Name for	District	Narayanganj	Narayanganj
BD-41, Name for	District	Netrakona	Netrakona
BD-42, Name for	District	Narsingdi	Narsingdi
BD-43, Name for	District	Narail	Narail
BD-44, Name for	District	Natore	Natore
BD-45, Name for	District	Chapai Nawabganj	Chapai Nawabganj
BD-46, Name for	District	Nilphamari	Nilphamari
BD-47, Name for	District	Noakhali	Noakhali
BD-48, Name for	District	Naogaon	Naogaon
BD-49, Name for	District	Pabna	Pabna
BD-50, Name for	District	Pirojpur	Pirojpur
BD-51, Name for	District	Patuakhali	Patuakhali
BD-52, Name for	District	Panchagarh	Panchagarh
BD-53, Name for	District	Rajbari	Rajbari
BD-54, Name for	District	Rajshahi	Rajshahi
BD-55, Name for	District	Rangpur	Rangpur
BD-56, Name for	District	Rangamati	Rangamati
BD-57, Name for	District	Sherpur	Sherpur
BD-58, Name for	District	Satkhira	Satkhira
BD-59, Name for	District	Sirajganj	Sirajganj
BD-60, Name for	District	Sylhet	Sylhet
BD-61, Name for	District	Sunamganj	Sunamganj
BD-62, Name for	District	Shariatpur	Shariatpur
BD-63, Name for	District	Tangail	Tangail
BD-64, Name for	District	Thakurgaon	Thakurgaon
BD-A, Name for	Division	Barishal	Barisal
BD-B, Name for	Division	Chattogram	Chittagong
BD-C, Name for	Division	Dhaka	Dhaka
BD-D, Name for	Division	Khulna	Khulna
BD-E, Name for	Division	Rajshahi	Rajshahi
BD-F, Name for	Division	Rangpur	Rangpur
BD-G, Name for	Division	Sylhet	Sylhet
BD-H, Name for	Division	Mymensingh	Mymensingh
BE-BRU, Name for	Region	Brussels Hoofdstedelijk Gewest	Brussels Hoofdstedelijk Gewest
BE-VAN, Name for	Province	Antwerpen	Antwerpen
BE-VBR, Name for	Province	Vlaams-Brabant	Vlaams-Brabant
BE-VLG, Name for	Region	Vlaams Gewest	Vlaams Gewest
BE-VLI, Name for	Province	Limburg	Limburg
BE-VOV, Name for	Province	Oost-Vlaanderen	Oost-Vlaanderen
BE-VWV, Name for	Province	West-Vlaanderen	West-Vlaanderen
BE-WAL, Name for	Region	wallonne, Région	Wallonië, Gewest
BE-WBR, Name for	Province	Brabant wallon	Waals-Brabant
BE-WHT, Name for	Province	Hainaut	Henegouwen
BE-WLG, Name for	Province	Liège	Luik
BE-WLX, Name for	Province	Luxembourg	Luxemburg
BE-WNA, Name for	Province	Namur	Namen
BF-01, Name for	Region	Boucle du Mouhoun	Boucle du Mouhoun
BF-02, Name for	Region	Cascades	Cascades
BF-03, Name for	Region	Centre	Centre
BF-04, Name for	Region	Centre-Est	Centre-Est
BF-05, Name for	Region	Centre-Nord	Centre-Nord
BF-06, Name for	Region	Centre-Ouest	Centre-Ouest
BF-07, Name for	Region	Centre-Sud	Centre-Sud
BF-08, Name for	Region	Est	Est
BF-09, Name for	Region	Hauts-Bassins	Hauts-Bassins
BF-10, Name for	Region	Nord	Noord
BF-11, Name for	Region	Plateau-Central	Plateau-Central
BF-12, Name for	Region	Sahel	Sahel
BF-13, Name for	Region	Sud-Ouest	Sud-Ouest
BF-BAL, Name for	Province	Balé	Balé
BF-BAM, Name for	Province	Bam	Bam
BF-BAN, Name for	Province	Banwa	Banwa
BF-BAZ, Name for	Province	Bazèga	Bazéga
BF-BGR, Name for	Province	Bougouriba	Bougouriba
BF-BLG, Name for	Province	Boulgou	Boulgou
BF-BLK, Name for	Province	Boulkiemdé	Boulkiemdé
BF-COM, Name for	Province	Comoé	Comoé
BF-GAN, Name for	Province	Ganzourgou	Ganzourgou
BF-GNA, Name for	Province	Gnagna	Gnagna
BF-GOU, Name for	Province	Gourma	Gourma
BF-HOU, Name for	Province	Houet	Houet
BF-IOB, Name for	Province	Ioba	Ioba
BF-KAD, Name for	Province	Kadiogo	Kadiogo
BF-KEN, Name for	Province	Kénédougou	Kénédougou
BF-KMD, Name for	Province	Komondjari	Komondjari
BF-KMP, Name for	Province	Kompienga	Kompienga
BF-KOP, Name for	Province	Koulpélogo	Koulpélogo
BF-KOS, Name for	Province	Kossi	Kossi
BF-KOT, Name for	Province	Kouritenga	Kouritenga
BF-KOW, Name for	Province	Kourwéogo	Kourwéogo
BF-LER, Name for	Province	Léraba	Léraba
BF-LOR, Name for	Province	Loroum	Loroum
BF-MOU, Name for	Province	Mouhoun	Mouhoun
BF-NAM, Name for	Province	Namentenga	Namentenga
BF-NAO, Name for	Province	Nahouri	Nahouri
BF-NAY, Name for	Province	Nayala	Nayala
BF-NOU, Name for	Province	Noumbiel	Noumbiel
BF-OUB, Name for	Province	Oubritenga	Oubritenga
BF-OUD, Name for	Province	Oudalan	Oudalan
BF-PAS, Name for	Province	Passoré	Passoré
BF-PON, Name for	Province	Poni	Poni
BF-SEN, Name for	Province	Séno	Séno
BF-SIS, Name for	Province	Sissili	Sissili
BF-SMT, Name for	Province	Sanmatenga	Sanmatenga
BF-SNG, Name for	Province	Sanguié	Sanguié
BF-SOM, Name for	Province	Soum	Soum
BF-SOR, Name for	Province	Sourou	Sourou
BF-TAP, Name for	Province	Tapoa	Tapoa
BF-TUI, Name for	Province	Tuy	Tuy
BF-YAG, Name for	Province	Yagha	Yagha
BF-YAT, Name for	Province	Yatenga	Yatenga
BF-ZIR, Name for	Province	Ziro	Ziro
BF-ZON, Name for	Province	Zondoma	Zondoma
BF-ZOU, Name for	Province	Zoundwéogo	Zoundwéogo
BG-01, Name for	District	Blagoevgrad	Blagoëvgrad
BG-02, Name for	District	Burgas	Boergas
BG-03, Name for	District	Varna	Varna
BG-04, Name for	District	Veliko Tarnovo	Veliko Tarnovo
BG-05, Name for	District	Vidin	Vidin
BG-06, Name for	District	Vratsa	Vratsa
BG-07, Name for	District	Gabrovo	Gabrovo
BG-08, Name for	District	Dobrich	Dobritsj
BG-09, Name for	District	Kardzhali	Kardzjali
BG-10, Name for	District	Kyustendil	Kjoestendil
BG-11, Name for	District	Lovech	Lovetsj
BG-12, Name for	District	Montana	Montana
BG-13, Name for	District	Pazardzhik	Pazardzjik
BG-14, Name for	District	Pernik	Pernik
BG-15, Name for	District	Pleven	Pleven
BG-16, Name for	District	Plovdiv	Plovdiv
BG-17, Name for	District	Razgrad	Razgrad
BG-18, Name for	District	Ruse	Roese
BG-19, Name for	District	Silistra	Silistra
BG-20, Name for	District	Sliven	Sliven
BG-21, Name for	District	Smolyan	Smoljan
BG-22, Name for	District	Sofia (stolitsa)	Sofia-Hoofdstad
BG-23, Name for	District	Sofia	Sofia
BG-24, Name for	District	Stara Zagora	Stara Zagora
BG-25, Name for	District	Targovishte	Targovisjte
BG-26, Name for	District	Haskovo	Chaskovo
BG-27, Name for	District	Shumen	Sjoemen
BG-28, Name for	District	Yambol	Jambol
BH-13, Name for	Governorate	Al ‘Āşimah	Al-Asimah
BH-14, Name for	Governorate	Al Janūbīyah	Al Janblyah
BH-15, Name for	Governorate	Al Muḩarraq	Al Muharraq
BH-17, Name for	Governorate	Ash Shamālīyah	Ash Shamallyah
BI-BB, Name for	Province	Bubanza	Bubanza
BI-BL, Name for	Province	Bujumbura Rural	Bujumbura Rural
BI-BM, Name for	Province	Bujumbura Mairie	Bujumbura Mairie
BI-BR, Name for	Province	Bururi	Bururi
BI-CA, Name for	Province	Cankuzo	Cankuzo
BI-CI, Name for	Province	Cibitoke	Cibitoke
BI-GI, Name for	Province	Gitega	Gitega
BI-KI, Name for	Province	Kirundo	Kirundo
BI-KR, Name for	Province	Karuzi	Karuzi
BI-KY, Name for	Province	Kayanza	Kayanza
BI-MA, Name for	Province	Makamba	Makamba
BI-MU, Name for	Province	Muramvya	Muramvya
BI-MW, Name for	Province	Mwaro	Mwaro
BI-MY, Name for	Province	Muyinga	Muyinga
BI-NG, Name for	Province	Ngozi	Ngozi
BI-RM, Name for	Province	Rumonge	Rumonge
BI-RT, Name for	Province	Rutana	Rutana
BI-RY, Name for	Province	Ruyigi	Ruyigi
BJ-AK, Name for	Department	Atacora	Atacora
BJ-AL, Name for	Department	Alibori	Alibori
BJ-AQ, Name for	Department	Atlantique	Atlantique
BJ-BO, Name for	Department	Borgou	Borgou
BJ-CO, Name for	Department	Collines	Collines
BJ-DO, Name for	Department	Donga	Donga
BJ-KO, Name for	Department	Couffo	Couffo
BJ-LI, Name for	Department	Littoral	Littoral
BJ-MO, Name for	Department	Mono	Mono
BJ-OU, Name for	Department	Ouémé	Ouémé
BJ-PL, Name for	Department	Plateau	Plateau
BJ-ZO, Name for	Department	Zou	Zou
BN-BE, Name for	District	Belait	Belait
BN-BM, Name for	District	Brunei-Muara	Brunei en Muara
BN-TE, Name for	District	Temburong	Temburong
BN-TU, Name for	District	Tutong	Tutong
BO-B, Name for	Department	El Beni	El Beni
BO-C, Name for	Department	Cochabamba	Cochabamba
BO-H, Name for	Department	Chuquisaca	Chuquisaca
BO-L, Name for	Department	La Paz	La Paz
BO-N, Name for	Department	Pando	Pando
BO-O, Name for	Department	Oruro	Oruro
BO-P, Name for	Department	Potosí	Potosí
BO-S, Name for	Department	Santa Cruz	Santa Cruz
BO-T, Name for	Department	Tarija	Tarija
BQ-BO, Name for	Special municipality	Bonaire	Bonaire
BQ-SA, Name for	Special municipality	Saba	Saba
BQ-SE, Name for	Special municipality	Sint Eustatius	Sint Eustatius
BR-AC, Name for	State	Acre	Acre
BR-AL, Name for	State	Alagoas	Alagoas
BR-AM, Name for	State	Amazonas	Amazonas
BR-AP, Name for	State	Amapá	Amapá
BR-BA, Name for	State	Bahia	Bahia
BR-CE, Name for	State	Ceará	Ceará
BR-DF, Name for	Federal district	Distrito Federal	Federaal District
BR-ES, Name for	State	Espírito Santo	Espírito Santo
BR-GO, Name for	State	Goiás	Goiás
BR-MA, Name for	State	Maranhão	Maranhão
BR-MG, Name for	State	Minas Gerais	Minas Gerais
BR-MS, Name for	State	Mato Grosso do Sul	Zuidelijk Mato Grosso
BR-MT, Name for	State	Mato Grosso	Mato Grosso
BR-PA, Name for	State	Pará	Pará
BR-PB, Name for	State	Paraíba	Paraíba
BR-PE, Name for	State	Pernambuco	Pernambuco
BR-PI, Name for	State	Piauí	Piauí
BR-PR, Name for	State	Paraná	Paraná
BR-RJ, Name for	State	Rio de Janeiro	Rio de Janeiro
BR-RN, Name for	State	Rio Grande do Norte	Rio Grande do Norte
BR-RO, Name for	State	Rondônia	Rondônia
BR-RR, Name for	State	Roraima	Roraima
BR-RS, Name for	State	Rio Grande do Sul	Rio Grande do Sul
BR-SC, Name for	State	Santa Catarina	Santa Catarina
BR-SE, Name for	State	Sergipe	Sergipe
BR-SP, Name for	State	São Paulo	São Paulo
BR-TO, Name for	State	Tocantins	Tocantins
BS-AK, Name for	District	Acklins	Acklins
BS-BI, Name for	District	Bimini	Bimini
BS-BP, Name for	District	Black Point	Black Point
BS-BY, Name for	District	Berry Islands	Berry-eilanden
BS-CE, Name for	District	Central Eleuthera	Central Eleuthera
BS-CI, Name for	District	Cat Island	Cat Island
BS-CK, Name for	District	Crooked Island and Long Cay	Crooked Island en Long Cay
BS-CO, Name for	District	Central Abaco	Central Abaco
BS-CS, Name for	District	Central Andros	Central Andros
BS-EG, Name for	District	East Grand Bahama	East Grand Bahama
BS-EX, Name for	District	Exuma	Exuma
BS-FP, Name for	District	City of Freeport	Freeport (stad)
BS-GC, Name for	District	Grand Cay	Grand Cay
BS-HI, Name for	District	Harbour Island	Harbour Island
BS-HT, Name for	District	Hope Town	Hope Town
BS-IN, Name for	District	Inagua	Inagua
BS-LI, Name for	District	Long Island	Long Island
BS-MC, Name for	District	Mangrove Cay	Mangrove Cay
BS-MG, Name for	District	Mayaguana	Mayaguana
BS-MI, Name for	District	Moore's Island	Moore's Island
BS-NE, Name for	District	North Eleuthera	North Eleuthera
BS-NO, Name for	District	North Abaco	North Abaco
BS-NP, Name for	Island	New Providence	New Providence
BS-NS, Name for	District	North Andros	North Andros
BS-RC, Name for	District	Rum Cay	Rum Cay
BS-RI, Name for	District	Ragged Island	Ragged Island
BS-SA, Name for	District	South Andros	South Andros
BS-SE, Name for	District	South Eleuthera	South Eleuthera
BS-SO, Name for	District	South Abaco	South Abaco
BS-SS, Name for	District	San Salvador	San Salvador
BS-SW, Name for	District	Spanish Wells	Spanish Wells
BS-WG, Name for	District	West Grand Bahama	West Grand Bahama
BT-11, Name for	District	Paro	Paro
BT-12, Name for	District	Chhukha	Chhukha
BT-13, Name for	District	Haa	Haa
BT-14, Name for	District	Samtse	Samtse
BT-15, Name for	District	Thimphu	Thimphu
BT-21, Name for	District	Tsirang	Tsirang
BT-22, Name for	District	Dagana	Dagana
BT-23, Name for	District	Punakha	Punakha
BT-24, Name for	District	Wangdue Phodrang	Wangdue Phodrang
BT-31, Name for	District	Sarpang	Sarpang
BT-32, Name for	District	Trongsa	Trongsa
BT-33, Name for	District	Bumthang	Bumthang
BT-34, Name for	District	Zhemgang	Zhemgang
BT-41, Name for	District	Trashigang	Trashigang
BT-42, Name for	District	Monggar	Monggar
BT-43, Name for	District	Pema Gatshel	Pemagatshel
BT-44, Name for	District	Lhuentse	Lhuentse
BT-45, Name for	District	Samdrup Jongkhar	Samdrup Jongkhar
BT-GA, Name for	District	Gasa	Gasa
BT-TY, Name for	District	Trashi Yangtse	Trashi Yangtse
BW-CE, Name for	District	Central	Central
BW-CH, Name for	District	Chobe	Chobe
BW-FR, Name for	City	Francistown	Francistown
BW-GA, Name for	City	Gaborone	Gaborone
BW-GH, Name for	District	Ghanzi	Ghanzi
BW-JW, Name for	Town	Jwaneng	Jwaneng
