Code	Engels	Nederlands
AIDJ, Name for	French Afars and Issas	Frans Afars en Issas
ANHH, Name for	Netherlands Antilles	Nederlandse Antillen
BQAQ, Name for	British Antarctic Territory	Brits Antarctisch Territorium
BUMM, Name for	Burma, Socialist Republic of the Union of	Birma, Socialistische Republiek van de Unie van
BYAA, Name for	Byelorussian SSR Soviet Socialist Republic	Wit-Russische Socialistische Sovjetrepubliek; Belorussische Socialistische Sovjetrepubliek
CSHH, Name for	Czechoslovakia, Czechoslovak Socialist Republic	Tsjechoslowakije; Tsjechoslowaakse Socialistische Republiek
CSXX, Name for	Serbia and Montenegro	Servië en Montenegro
CTKI, Name for	Canton and Enderbury Islands	Kanton en Enderbury Eilanden
DDDE, Name for	German Democratic Republic	Duitse Democratische Republiek
DYBJ, Name for	Dahomey	Dahomey
FQHH, Name for	French Southern and Antarctic Territories	Franse Zuidelijke en Antarctische Gebieden
FXFR, Name for	France, Metropolitan	Frankrijk, Metropolitaans
GEHH, Name for	Gilbert and Ellice Islands	Gilbert- en Ellice-eilanden
HVBF, Name for	Upper Volta, Republic of	Opper-Volta, Republiek; Boven-Volta, Republiek
JTUM, Name for	Johnston Island	Johnston-eiland
MIUM, Name for	Midway Islands	Midway-eilanden
NHVU, Name for	New Hebrides	Nieuwe Hebriden
NQAQ, Name for	Dronning Maud Land	Dronning Maud-land
NTHH, Name for	Neutral Zone	Neutrale Zone
PCHH, Name for	Pacific Islands (trust territory)	Pacifische Eilanden, Trustschap van de
PUUM, Name for	US Miscellaneous Pacific Islands	Verenigde Staten Diverse Pacifische Eilanden
PZPA, Name for	Panama Canal Zone	Panamakanaalzone
RHZW, Name for	Southern Rhodesia	Zuid-Rhodesië
SKIN, Name for	Sikkim	Sikkim
SUHH, Name for	USSR, Union of Soviet Socialist Republics	USSR; Unie van Socialistische Sovjetrepublieken
TPTL, Name for	East Timor	Oost-Timor
VDVN, Name for	Viet-Nam, Democratic Republic of	Vietnam, Democratische Republiek
WKUM, Name for	Wake Island	Wake-eiland
YDYE, Name for	Yemen, Democratic, People's Democratic Republic of	Yemen, Republiek
YUCS, Name for	Yugoslavia, Socialist Federal Republic of	Joegoslavië, Socialistische Federale Republiek
ZRCD, Name for	Zaire, Republic of	Zaïre, Republiek
